"project_id","date","species","samples","n_profiles"
"PR-00000085",2001-08-20,"Methicillin-Resistant Staphylococcus aureus",8,1
"PR-00000085",2001-10-12,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000085",2001-11-28,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000085",2002-04-30,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000085",2002-04-30,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000085",2002-11-06,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000085",2003-06-29,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000085",2004-09-03,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000086",2001-01-22,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000086",2001-07-21,"Methicillin-Resistant Staphylococcus aureus",2,2
"PR-00000086",2002-02-20,"Methicillin-Resistant Staphylococcus aureus",2,2
"PR-00000086",2002-04-04,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000094",2001-01-04,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000095",2005-09-03,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000096",2001-04-09,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000096",2001-04-20,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000096",2001-06-19,"Methicillin-Resistant Staphylococcus aureus",3,2
"PR-00000096",2001-07-22,"Methicillin-Resistant Staphylococcus aureus",3,2
"PR-00000096",2001-12-04,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000101",2002-07-03,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000104",2001-01-25,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000104",2001-06-28,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000104",2002-03-19,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000106",2000-05-31,"Methicillin-Susceptible Staphylococcus aureus",5,1
"PR-00000113",2003-02-21,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000113",2003-05-21,"Methicillin-Resistant Staphylococcus aureus",8,1
"PR-00000113",2003-06-13,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000113",2003-06-27,"Methicillin-Resistant Staphylococcus aureus",5,1
"PR-00000115",2000-08-22,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000116",2002-11-12,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000117",2000-07-19,"Methicillin-Resistant Staphylococcus aureus",5,2
"PR-00000117",2000-07-19,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000117",2000-10-11,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000117",2001-04-19,"Methicillin-Resistant Staphylococcus aureus",7,1
"PR-00000117",2001-11-28,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000117",2001-12-07,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000117",2003-05-28,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000120",2000-10-04,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000125",2000-02-03,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000125",2001-01-31,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000125",2001-02-22,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000125",2001-07-24,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000125",2003-04-29,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000129",2000-06-07,"Methicillin-Susceptible Staphylococcus aureus",3,3
"PR-00000138",2001-02-27,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000140",2002-08-28,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000143",2005-11-12,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000144",2002-03-21,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000152",2001-09-12,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000152",2002-08-20,"Methicillin-Resistant Staphylococcus aureus",2,2
"PR-00000158",2002-02-05,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000158",2002-02-22,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000159",2000-08-02,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000159",2001-01-23,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000159",2001-08-21,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000159",2001-10-09,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000159",2002-04-24,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000159",2002-05-23,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000159",2002-07-16,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000159",2003-05-14,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000159",2003-06-24,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000169",2003-07-15,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000169",2003-10-14,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000172",2000-02-09,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000172",2000-05-17,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000172",2000-08-10,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000172",2000-08-16,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000172",2000-08-17,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000172",2000-11-09,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000172",2000-12-21,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000172",2001-06-13,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000172",2001-08-14,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000172",2002-08-08,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000172",2002-08-14,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000172",2002-10-01,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000172",2003-08-08,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000172",2004-02-09,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000172",2005-08-11,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000178",2001-10-01,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000179",2002-02-15,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000180",2000-09-11,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000180",2001-07-17,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000180",2001-07-18,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000181",2001-01-25,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000187",2003-06-12,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000195",2004-08-31,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000196",2001-09-09,"Methicillin-Susceptible Staphylococcus aureus",5,2
"PR-00000198",2000-06-28,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000204",2004-08-04,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000211",2003-06-14,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000211",2004-01-06,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000221",2004-12-02,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000221",2004-12-04,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000234",2001-01-01,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000234",2001-01-11,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000236",2003-03-26,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000248",2002-05-15,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000248",2002-05-16,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000248",2002-08-27,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000248",2002-10-30,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000251",2002-10-30,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000251",2003-01-08,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000252",2002-12-11,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000252",2004-01-06,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000252",2004-10-27,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000252",2005-08-31,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000253",2007-04-17,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000254",2003-10-07,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000254",2003-10-17,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000254",2004-03-26,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000259",2005-01-06,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000259",2005-02-03,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000261",2001-10-12,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000261",2002-08-05,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000266",2004-06-08,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000267",2001-01-17,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000267",2001-03-22,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000267",2001-05-21,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000267",2001-07-06,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000267",2005-08-12,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000269",2003-03-20,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000269",2003-05-30,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000269",2003-11-02,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000269",2003-11-03,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000273",2000-06-23,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000274",2000-10-12,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000275",2003-02-01,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000275",2003-02-03,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000283",2000-04-19,"Methicillin-Susceptible Staphylococcus aureus",5,1
"PR-00000283",2001-07-25,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000285",2001-03-28,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000285",2003-06-15,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000296",2004-10-18,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000299",2000-03-29,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2000-05-26,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2000-10-26,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2001-04-05,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000299",2001-04-10,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000299",2001-04-11,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000299",2001-05-01,"Methicillin-Resistant Staphylococcus aureus",4,2
"PR-00000299",2001-05-01,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000299",2001-05-08,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000299",2001-06-13,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000299",2001-06-21,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000299",2001-06-21,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2001-06-28,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000299",2001-06-28,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2001-08-22,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000299",2001-09-20,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2001-09-20,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000299",2001-10-30,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2002-01-04,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000299",2002-01-09,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000299",2002-01-09,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000299",2002-07-03,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000299",2002-09-27,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000299",2002-10-28,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000299",2002-10-28,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000299",2003-06-11,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000299",2003-07-27,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000299",2003-10-31,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000299",2005-03-31,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000299",2006-02-01,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000301",2001-06-22,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000309",2002-09-12,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000309",2002-10-30,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000309",2004-06-29,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000319",2000-03-03,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000319",2000-04-15,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000319",2000-04-15,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2000-08-10,"Methicillin-Resistant Staphylococcus aureus",6,1
"PR-00000319",2000-10-11,"Methicillin-Resistant Staphylococcus aureus",6,1
"PR-00000319",2000-10-16,"Methicillin-Resistant Staphylococcus aureus",8,1
"PR-00000319",2000-12-13,"Methicillin-Resistant Staphylococcus aureus",5,1
"PR-00000319",2001-05-13,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000319",2001-05-22,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2001-05-30,"Methicillin-Resistant Staphylococcus aureus",5,1
"PR-00000319",2001-06-14,"Methicillin-Susceptible Staphylococcus aureus",8,2
"PR-00000319",2001-06-14,"Methicillin-Resistant Staphylococcus aureus",8,1
"PR-00000319",2001-06-22,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000319",2001-07-11,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2001-07-11,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000319",2001-07-21,"Methicillin-Susceptible Staphylococcus aureus",6,2
"PR-00000319",2001-07-21,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2001-07-22,"Methicillin-Susceptible Staphylococcus aureus",5,2
"PR-00000319",2001-09-14,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000319",2001-09-26,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000319",2001-10-10,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000319",2001-10-24,"Methicillin-Susceptible Staphylococcus aureus",6,1
"PR-00000319",2001-10-24,"Methicillin-Resistant Staphylococcus aureus",6,1
"PR-00000319",2001-11-09,"Methicillin-Susceptible Staphylococcus aureus",3,3
"PR-00000319",2001-11-09,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000319",2001-11-29,"Methicillin-Resistant Staphylococcus aureus",5,1
"PR-00000319",2002-01-04,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000319",2002-01-04,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000319",2002-01-17,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000319",2002-01-17,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000319",2002-04-06,"Methicillin-Resistant Staphylococcus aureus",4,2
"PR-00000319",2002-04-06,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000319",2002-04-11,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000319",2002-04-11,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000319",2002-05-29,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000319",2002-06-24,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000319",2002-07-11,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000319",2002-09-03,"Methicillin-Susceptible Staphylococcus aureus",7,2
"PR-00000319",2002-10-03,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000319",2002-11-07,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2002-12-03,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2002-12-24,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000319",2003-07-24,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000319",2003-08-03,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000319",2003-09-09,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000319",2003-09-09,"Methicillin-Resistant Staphylococcus aureus",2,2
"PR-00000319",2004-06-24,"Methicillin-Susceptible Staphylococcus aureus",5,1
"PR-00000319",2004-09-16,"Methicillin-Susceptible Staphylococcus aureus",7,2
"PR-00000319",2004-09-27,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000319",2005-04-22,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000319",2005-04-22,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2005-04-26,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000319",2005-04-26,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000319",2005-06-16,"Methicillin-Resistant Staphylococcus aureus",6,1
"PR-00000319",2005-09-05,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000319",2005-10-27,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000319",2005-10-27,"Methicillin-Resistant Staphylococcus aureus",2,2
"PR-00000319",2006-03-03,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000319",2006-05-10,"Methicillin-Resistant Staphylococcus aureus",6,1
"PR-00000329",2001-12-04,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000330",2000-02-23,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000330",2000-04-19,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000330",2001-08-09,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000330",2002-01-09,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000330",2002-07-16,"Methicillin-Susceptible Staphylococcus aureus",8,1
"PR-00000330",2003-02-10,"Methicillin-Susceptible Staphylococcus aureus",5,1
"PR-00000332",2008-11-13,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000336",2004-09-23,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000336",2004-11-04,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000336",2005-03-17,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000336",2005-04-19,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000336",2005-07-19,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000336",2005-11-29,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000336",2006-04-30,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000336",2006-09-10,"Methicillin-Resistant Staphylococcus aureus",5,1
"PR-00000341",2000-05-10,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000341",2000-07-02,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000341",2000-07-31,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000341",2000-11-15,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000345",2001-05-08,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000346",2001-09-01,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000360",2004-10-11,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000362",2001-02-07,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000362",2001-02-08,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000366",2000-08-30,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000370",2000-11-09,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000370",2000-11-27,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000370",2001-09-08,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000370",2001-10-15,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000370",2001-11-01,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000370",2003-02-09,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000370",2003-10-13,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000370",2004-07-23,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000370",2005-03-23,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000370",2007-03-22,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000372",2000-08-02,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000372",2000-08-03,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000372",2002-06-23,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000372",2003-06-22,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000372",2004-07-22,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000372",2005-01-26,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000372",2005-03-23,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000373",2000-08-02,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000373",2000-08-03,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000373",2002-06-23,"Methicillin-Susceptible Staphylococcus aureus",3,2
"PR-00000373",2003-06-22,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000373",2004-07-15,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000373",2004-07-22,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000373",2005-01-26,"Methicillin-Susceptible Staphylococcus aureus",5,1
"PR-00000373",2005-03-23,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000374",2005-01-17,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000380",2000-04-12,"Methicillin-Resistant Staphylococcus aureus",3,3
"PR-00000380",2001-02-25,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000380",2001-12-04,"Methicillin-Resistant Staphylococcus aureus",3,3
"PR-00000380",2002-01-14,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000380",2002-07-05,"Methicillin-Resistant Staphylococcus aureus",3,2
"PR-00000380",2003-05-12,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000380",2003-06-10,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000380",2004-02-25,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000380",2004-09-01,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000380",2005-03-23,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000380",2005-12-20,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000380",2006-03-18,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000380",2006-12-05,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000380",2007-08-16,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000384",2009-04-21,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000384",2009-05-06,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000389",2000-05-17,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000389",2000-05-19,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000389",2000-06-02,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000392",2007-08-31,"Methicillin-Susceptible Staphylococcus aureus",8,2
"PR-00000396",2006-03-14,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000397",2003-02-24,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000408",2000-03-08,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000412",2004-04-28,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000415",2006-05-30,"Methicillin-Resistant Staphylococcus aureus",5,1
"PR-00000415",2006-06-01,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000418",2004-05-10,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000418",2004-06-29,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000418",2004-07-07,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000418",2004-09-30,"Methicillin-Susceptible Staphylococcus aureus",2,1
